mse_base,mse_prop
1.1560243,1.0609913
0.32645956,0.24840973
0.9804657,0.36255312
1.1951351,1.4314424
0.9510413,0.2711751
0.35175604,0.41555676
1.9771824,0.67350954
0.026675532,0.19775972
1.3403898,0.078881465
2.5993643,1.7563623
0.0717985,0.32243347
0.108666316,1.0665318
0.8745152,0.9815664
1.1678843,2.8155117
1.3393267,0.1225913
0.39827988,1.4690181
1.6591952,0.8138012
0.8806057,2.1628056
0.30692205,1.0140394
0.975633,0.7113657
0.45118886,1.2451837
0.7426543,1.1258115
0.35359967,1.5544955
0.3130852,2.0725777
0.46074164,0.9652238
